tour,course_id,club_id_1,club_level_1,club_id_2_new,club_level_2_new,sampleCnt
6,204800,19,1,20,3,15627
6,204800,13,2,0,0,2249
6,204800,37,2,0,0,924
6,204800,37,1,0,0,865
6,204800,13,3,0,0,769
6,204800,37,3,0,0,605
6,204800,19,6,0,0,395
6,204800,13,1,0,0,333
6,204800,19,5,0,0,285
6,204800,19,4,0,0,281
6,204800,37,4,0,0,228
6,204800,13,2,8,2,218
6,204800,13,3,8,2,202
6,204800,19,3,0,0,195
6,204800,13,4,0,0,184
6,204800,13,3,8,3,149
6,204800,13,2,28,4,104
6,204800,19,3,28,4,101
6,204800,13,2,8,1,101
6,204800,13,2,26,2,90
6,204800,19,1,0,0,82
6,204800,13,2,28,5,82
6,204800,13,1,8,1,78
6,204800,19,3,20,2,73
6,204800,13,2,26,1,71
6,204800,19,7,0,0,69
6,204800,13,1,8,2,69
6,204800,13,2,8,3,69
6,204800,13,1,28,4,65
6,204800,19,2,0,0,65
6,204800,37,5,0,0,64
6,204800,13,3,26,2,62
6,204800,19,4,8,2,55
6,204800,19,3,8,2,48
6,204800,19,4,26,2,47
6,204800,7,6,0,0,45
6,204800,13,2,28,3,44
6,204800,19,4,28,5,42
6,204800,7,7,0,0,42
6,204800,13,1,28,1,41
6,204800,13,3,8,1,39
6,204800,13,3,28,5,38
6,204800,13,1,26,1,38
6,204800,37,1,8,2,36
6,204800,19,1,28,1,35
6,204800,19,4,8,3,34
6,204800,37,1,26,2,32
6,204800,49,4,0,0,31
6,204800,13,3,26,1,31
6,204800,13,2,20,4,30
6,204800,13,1,28,5,30
6,204800,13,1,28,3,29
6,204800,19,3,8,1,29
6,204800,19,4,28,4,29
6,204800,13,2,20,3,29
6,204800,37,1,8,3,28
6,204800,13,3,28,4,28
6,204800,1,1,2,1,27
6,204800,49,5,26,3,27
6,204800,19,3,26,2,26
6,204800,19,1,28,4,26
6,204800,49,3,0,0,26
6,204800,7,5,28,4,25
6,204800,13,5,0,0,25
6,204800,19,1,8,1,25
6,204800,19,3,26,1,24
6,204800,19,4,8,1,24
6,204800,13,1,28,2,24
6,204800,13,2,26,3,24
6,204800,13,1,26,2,23
6,204800,13,1,20,1,23
6,204800,13,1,2,1,23
6,204800,19,5,26,2,23
6,204800,49,5,0,0,22
6,204800,37,1,26,3,22
6,204800,19,5,8,2,22
6,204800,13,4,8,2,22
6,204800,37,1,26,1,21
6,204800,7,5,0,0,21
6,204800,37,1,28,5,21
6,204800,13,1,20,2,20
6,204800,13,2,28,2,20
6,204800,19,3,8,3,20
6,204800,13,4,8,3,20
6,204800,19,1,28,3,19
